FS_method,Classifier,Accuracy,Precision,Recall,F1_score,AUC,Best_params,Outer_Fold,Top_k
LASSO,Random Forest,0.7678832116788321,0.7697975814358863,0.7678832116788321,0.7679742454370752,1.0,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20}",1,10
LASSO,SVM (RBF),0.49343065693430654,0.5020835045890952,0.49343065693430654,0.479497330051861,0.5,"{'pca__n_components': 0.85, 'clf__gamma': 0.0001, 'clf__C': 1}",1,10
LASSO,Logistic Regression,0.46715328467153283,0.46928140088852754,0.46715328467153283,0.46699429680014504,0.5393453265679189,{'clf__C': 0.01},1,10
LASSO,XGBoost,0.7751824817518248,0.7751824817518248,0.7751824817518248,0.7751824817518248,1.0,"{'subsample': 1.0, 'n_estimators': 300, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",1,10
LASSO,LightGBM,0.7781021897810219,0.7780529041112983,0.7781021897810219,0.7780709055912256,1.0,"{'num_leaves': 127, 'n_estimators': 800, 'max_depth': -1, 'learning_rate': 0.1}",1,10
LASSO,Stacking Ensemble,0.7445255474452555,0.7623810186608834,0.7445255474452555,0.7421620359694029,0.9994020467086941,"{'final_estimator__n_estimators': 200, 'final_estimator__max_depth': 2, 'final_estimator__learning_rate': 0.03}",1,10
LASSO,Soft Voting Ensemble,0.7474452554744525,0.7473327403975323,0.7474452554744525,0.7471956511396078,0.9999829156202484,"{'weights': (1, 1)}",1,10
LASSO,Random Forest,0.7783171521035599,0.7793353354176952,0.7783171521035599,0.7773194605152177,1.0,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20}",1,30
LASSO,SVM (RBF),0.6310679611650486,0.6317128963524212,0.6310679611650486,0.6312847864174467,1.0,"{'pca__n_components': 0.85, 'clf__gamma': 'scale', 'clf__C': 50}",1,30
LASSO,Logistic Regression,0.49029126213592233,0.4922644935494736,0.49029126213592233,0.4907119031447465,0.6230965667265677,{'clf__C': 10},1,30
LASSO,XGBoost,0.8025889967637541,0.8037880112733241,0.8025889967637541,0.8017473057533413,1.0,"{'subsample': 0.8, 'n_estimators': 300, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",1,30
LASSO,LightGBM,0.7815533980582524,0.7828695195261464,0.7815533980582524,0.7804631864223724,1.0,"{'num_leaves': 63, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.1}",1,30
LASSO,Soft Voting Ensemble,0.7783171521035599,0.7801626276310177,0.7783171521035599,0.7769788133888393,1.0,"{'weights': (1, 1)}",1,30
LASSO,Random Forest,0.8234398782343988,0.8242480159825407,0.8234398782343988,0.8233547653547121,1.0,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20}",1,50
LASSO,SVM (RBF),0.528158295281583,0.5281462202868376,0.528158295281583,0.5281473635052054,0.8244184968955611,"{'pca__n_components': 0.95, 'clf__gamma': 0.001, 'clf__C': 50}",1,50
LASSO,Logistic Regression,0.4809741248097412,0.4807999718140423,0.4809741248097412,0.48056492085201685,0.6596422945046798,{'clf__C': 1},1,50
LASSO,XGBoost,0.8295281582952816,0.8299968003236783,0.8295281582952816,0.8294854976742343,1.0,"{'subsample': 0.8, 'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",1,50
