FS_method,Classifier,Top_k,F1_mean,F1_std,Accuracy_mean,Precision_mean,Recall_mean,AUC_mean
ReliefF,Soft Voting Ensemble,90,0.8332218701780532,0.02263386140209153,0.8350629308013838,0.8432807880214631,0.8350629308013838,1.0
RFE_SVM,XGBoost,90,0.8298291458843882,0.005505727487868306,0.8303095352493183,0.834321230443475,0.8303095352493183,1.0
RF_importance,Soft Voting Ensemble,90,0.8266519950921712,0.002530651017175967,0.8283892268990461,0.8360606708644589,0.8283892268990461,1.0
RF_importance,Random Forest,30,0.8263284881424626,0.00525970024789476,0.8276180958563456,0.839684635096957,0.8276180958563456,1.0
Boruta,Stacking Ensemble,70,0.8234720082177709,,0.825,0.8331578947368421,0.825,1.0
ReliefF,Random Forest,90,0.8232588846374416,0.00994935548432572,0.8263805140822208,0.8430499358081539,0.8263805140822208,1.0
Boruta,LightGBM,50,0.8229373085536169,0.002871191855495192,0.8234183427081273,0.8258420860459444,0.8234183427081273,1.0
ReliefF,XGBoost,70,0.8228109899691333,0.005141594058992972,0.8239787387909935,0.829868942713378,0.8239787387909935,1.0
RFE_SVM,LightGBM,90,0.8227567779725459,0.010470824308754621,0.8232654128986425,0.8275169274514957,0.8232654128986425,1.0
Boruta,Soft Voting Ensemble,70,0.8222346202187151,0.005561410535056954,0.8232466813622047,0.8279461190781022,0.8232466813622047,0.9999827809460836
ReliefF,Random Forest,70,0.8220301177084912,0.004482160827001052,0.8242144462073618,0.8378904072521401,0.8242144462073618,1.0
ReliefF,XGBoost,90,0.8217372928771688,0.0038908635840052513,0.8232912539791958,0.8300885616769712,0.8232912539791958,1.0
RF_importance,XGBoost,90,0.8211778603708207,0.006827980091575218,0.8225428121489088,0.8275542266094957,0.8225428121489088,1.0
ReliefF,LightGBM,90,0.8204377176980343,0.013791779835630864,0.8215337244518109,0.8259318493717337,0.8215337244518109,1.0
RFE_SVM,Soft Voting Ensemble,90,0.8194434856174686,0.02057021816555621,0.819817080195167,0.8222497733938647,0.819817080195167,1.0
RFE_SVM,XGBoost,70,0.8189720408625725,0.002608566664160918,0.8196017819588404,0.8226788769013371,0.8196017819588404,1.0
ReliefF,LightGBM,70,0.8173366312067615,0.008718273516425984,0.8181750083403702,0.8216688943119567,0.8181750083403702,1.0
ReliefF,Soft Voting Ensemble,70,0.817016083992787,0.01821329459514557,0.818473854748734,0.826535507513412,0.818473854748734,1.0
Boruta,Random Forest,50,0.8169700186294485,0.005972855462895457,0.8179835825829195,0.8243056121806931,0.8179835825829195,1.0
Boruta,Soft Voting Ensemble,90,0.8168022246568633,0.022667655866798322,0.8185862349472087,0.8248188454069849,0.8185862349472087,1.0
RFE_SVM,XGBoost,30,0.8161108724705087,0.0062018672996902655,0.8172281721940715,0.8196897576431349,0.8172281721940715,1.0
RFE_SVM,LightGBM,70,0.8154957795363232,0.009461254517856382,0.8160405243853588,0.8188478028753261,0.8160405243853588,1.0
RF_importance,Random Forest,90,0.8150770212159193,0.0033442541518355104,0.8182959605303042,0.8335084563797648,0.8182959605303042,1.0
Boruta,Random Forest,90,0.8134434937284243,0.013658316062029052,0.8167248374081181,0.8320362508286189,0.8167248374081181,1.0
Boruta,XGBoost,50,0.8133751350635819,0.004314706739933279,0.8138496091762245,0.8164317384067794,0.8138496091762245,1.0
RFE_SVM,Random Forest,30,0.8129188562600574,0.011544709839560161,0.8155484635663663,0.824592897656062,0.8155484635663663,1.0
RF_importance,Soft Voting Ensemble,30,0.8128679967448943,0.012119821802193308,0.8133827117685001,0.8159071469944458,0.8133827117685001,1.0
mRMR,Random Forest,30,0.812385449580762,0.003345988268961577,0.8152372172603933,0.8309292975725083,0.8152372172603933,0.9999944144219626
