Outer_Fold,FS_method,Top_k,Classifier,Inner_F1,Test_F1,Test_Accuracy,Test_AUC
1,LASSO,10,Random Forest,0.7679742454370752,0.7526716042031087,0.7617328519855595,0.8272937380080237
1,LASSO,10,SVM (RBF),0.479497330051861,0.5660432114882821,0.5631768953068592,0.6206610849467993
1,LASSO,10,Logistic Regression,0.466994296800145,0.4952911723832062,0.4909747292418772,0.42765567765567764
1,LASSO,10,XGBoost,0.7751824817518248,0.7249010355686164,0.7292418772563177,0.808651665794523
1,LASSO,10,LightGBM,0.7780709055912256,0.7014013800105107,0.7075812274368231,0.8226931798360371
1,LASSO,10,Stacking Ensemble,0.7421620359694029,0.7409919706917631,0.7509025270758123,0.8287109715681145
1,LASSO,10,Soft Voting Ensemble,0.7471956511396078,0.7262494873443679,0.740072202166065,0.816457352171638
1,LASSO,30,Random Forest,0.7773194605152177,0.7523769256621241,0.7653429602888087,0.8409209837781266
1,LASSO,30,SVM (RBF),0.6312847864174467,0.5827409915465166,0.5812274368231047,0.6278998778998779
1,LASSO,30,Logistic Regression,0.4907119031447465,0.4554128010548846,0.4512635379061371,0.48395255538112686
1,LASSO,30,XGBoost,0.8017473057533413,0.7456382126015461,0.7509025270758123,0.8502093144950287
1,LASSO,30,LightGBM,0.7804631864223724,0.7416082678558789,0.7472924187725631,0.8513867085295656
1,LASSO,30,Soft Voting Ensemble,0.7769788133888393,0.7469383478413512,0.7653429602888087,0.8411826268969126
1,LASSO,50,Random Forest,0.8233547653547121,0.7752344402163897,0.7870036101083032,0.8565323565323566
1,LASSO,50,SVM (RBF),0.5281473635052054,0.5851171948959005,0.5848375451263538,0.6559392987964416
1,LASSO,50,Logistic Regression,0.4805649208520168,0.4773553806445523,0.4729241877256318,0.5061922204779348
1,LASSO,50,XGBoost,0.8294854976742343,0.7367847514477,0.7472924187725631,0.8576661433804291
1,LASSO,50,LightGBM,0.837070571572291,0.7434766755933531,0.7509025270758123,0.8523024594453166
1,LASSO,50,Stacking Ensemble,0.7918657153161981,0.7551556369430614,0.7653429602888087,0.8484650270364557
1,LASSO,50,Soft Voting Ensemble,0.8234235158336273,0.7590227583103397,0.7725631768953068,0.8546136403279261
1,LASSO,70,Random Forest,0.8032105256071942,0.7513726871455887,0.7653429602888087,0.8581458224315368
1,LASSO,70,SVM (RBF),0.6675546383628761,0.6050010348162822,0.6064981949458483,0.651753008895866
1,LASSO,70,Logistic Regression,0.5000675644134549,0.4909830344162652,0.4873646209386281,0.4918018489447061
1,LASSO,70,XGBoost,0.8270618682187091,0.7493397712437767,0.7581227436823105,0.8615035757892902
1,LASSO,70,LightGBM,0.8160235386921475,0.756822166132022,0.7653429602888087,0.8606750392464677
1,LASSO,70,Stacking Ensemble,0.7966354245444309,0.7643045610202676,0.7725631768953068,0.8441043083900227
1,LASSO,70,Soft Voting Ensemble,0.8159544158882331,0.7636125926230094,0.779783393501805,0.8613291470434328
1,LASSO,90,Random Forest,0.807887438308022,0.7853523364179006,0.7978339350180506,0.8651447758590616
1,LASSO,90,SVM (RBF),0.5143862487360971,0.6028880866425993,0.6028880866425993,0.6602564102564102
1,LASSO,90,Logistic Regression,0.4852069544645597,0.4556322757145525,0.4512635379061371,0.5084161869876156
1,LASSO,90,XGBoost,0.8164084833500734,0.7609516428235978,0.7689530685920578,0.8679574393860109
1,LASSO,90,LightGBM,0.8001313235538173,0.7468089404162093,0.7545126353790613,0.86573347287633
1,LASSO,90,Soft Voting Ensemble,0.8131505250507922,0.7666728294750909,0.779783393501805,0.8651665794522938
1,RF_importance,10,Random Forest,0.7824098835790495,0.735226950095767,0.7436823104693141,0.8650139542996687
1,RF_importance,10,SVM (RBF),0.6960619718418233,0.6763278165338902,0.6787003610108303,0.7155503226931796
1,RF_importance,10,Logistic Regression,0.512617891936406,0.4729241877256318,0.4729241877256318,0.5669370312227454
1,RF_importance,10,XGBoost,0.7704182050156272,0.7121327822451125,0.7148014440433214,0.8516919588348161
1,RF_importance,10,LightGBM,0.7811831447492282,0.7141755086922995,0.7148014440433214,0.8496424210709926
1,RF_importance,10,Stacking Ensemble,0.7365202218635721,0.7128517627799164,0.7220216606498195,0.8309349380777952
1,RF_importance,10,Soft Voting Ensemble,0.7656454938095049,0.7597377748006403,0.7653429602888087,0.8497732426303855
1,RF_importance,30,Random Forest,0.8289400398182175,0.781972971804593,0.7942238267148014,0.8713369963369964
1,RF_importance,30,SVM (RBF),0.5638651546359457,0.7107771891165392,0.7111913357400722,0.7228981336124194
1,RF_importance,30,Logistic Regression,0.5233987194602971,0.5253797958226697,0.5234657039711191,0.5900488400488401
1,RF_importance,30,XGBoost,0.8147994686097427,0.7624197923677825,0.7689530685920578,0.8720565149136578
1,RF_importance,30,LightGBM,0.8248632540966794,0.7416082678558789,0.7472924187725631,0.8703122274550846
1,RF_importance,30,Stacking Ensemble,0.8146708596611553,0.7526716042031087,0.7617328519855595,0.8319815105529391
1,RF_importance,30,Soft Voting Ensemble,0.8205126599875305,0.7637561306110892,0.7689530685920578,0.8645560788417931
1,RF_importance,50,Random Forest,0.8152037034963995,0.7623543724626757,0.776173285198556,0.8729722658294087
1,RF_importance,50,SVM (RBF),0.5246299853123941,0.6789167856150882,0.6787003610108303,0.740319204604919
1,RF_importance,50,Logistic Regression,0.5031446540880503,0.5095537305754559,0.5054151624548736,0.5710797139368567
1,RF_importance,50,XGBoost,0.8010982743280841,0.7509426161905737,0.7617328519855595,0.869440083725798
1,RF_importance,50,LightGBM,0.7993022875357007,0.7705071048621108,0.776173285198556,0.855398569684284
1,RF_importance,50,Stacking Ensemble,0.7908096317232365,0.7229835636417502,0.7364620938628159,0.8576225361939648
1,RF_importance,50,Soft Voting Ensemble,0.8037039248666183,0.7603838234652246,0.7653429602888087,0.8671289028431886
1,RF_importance,70,Random Forest,0.8301761385737123,0.771362999422255,0.7870036101083032,0.8709881388452817
1,RF_importance,70,SVM (RBF),0.5315114406918083,0.6534296028880866,0.6534296028880866,0.7349119134833421
1,RF_importance,70,Logistic Regression,0.5236756233414016,0.448247180016133,0.4440433212996389,0.5313971742543171
1,RF_importance,70,XGBoost,0.8079631066493779,0.7534813816618353,0.7617328519855595,0.8785539856968427
1,RF_importance,70,LightGBM,0.8203632118555996,0.7536440964659699,0.7581227436823105,0.8635967207395778
1,RF_importance,70,Stacking Ensemble,0.8089699422079286,0.7792693507967585,0.7870036101083032,0.842839699982557
1,RF_importance,70,Soft Voting Ensemble,0.8230468893155056,0.7609516428235978,0.7689530685920578,0.8674777603349032
1,RF_importance,90,Random Forest,0.811420670566227,0.7803877888405324,0.7978339350180506,0.8634658991801849
1,RF_importance,90,SVM (RBF),0.5708126135849158,0.671701432482843,0.6714801444043321,0.7176434676434676
1,RF_importance,90,Logistic Regression,0.5465218871877225,0.4944199762628055,0.4909747292418772,0.5400313971742543
1,RF_importance,90,XGBoost,0.8237800192917137,0.751645684403582,0.7581227436823105,0.8742804814233386
1,RF_importance,90,LightGBM,0.8175895790685388,0.7624197923677825,0.7689530685920578,0.868916797488226
1,RF_importance,90,Soft Voting Ensemble,0.8245558430399266,0.7542674609585248,0.7653429602888087,0.8627681841967556
1,Boruta,10,Random Forest,0.7812194818136523,0.7385408593383103,0.7472924187725631,0.8416405023547882
1,Boruta,10,XGBoost,0.7707886277987142,0.7175650631837797,0.7220216606498195,0.8245682888540031
1,Boruta,10,LightGBM,0.7797619047619048,0.6896257685577276,0.6931407942238267,0.8396563753706611
1,Boruta,30,Random Forest,0.8143912675081107,0.7599960971802128,0.7725631768953068,0.8691566370137799
1,Boruta,30,SVM (RBF),0.6000975458325785,0.6337806619647901,0.631768953068592,0.6870312227455084
1,Boruta,30,Logistic Regression,0.5030351882811879,0.4881666931777246,0.483754512635379,0.4466248037676609
1,Boruta,30,XGBoost,0.8303116679680691,0.7385408593383103,0.7472924187725631,0.8697453340310484
1,Boruta,30,LightGBM,0.8191809755135672,0.7260891251580032,0.7328519855595668,0.8681318681318682
1,Boruta,30,Soft Voting Ensemble,0.7515355598856452,0.7385408593383103,0.7472924187725631,0.8634004884004883
1,Boruta,50,Random Forest,0.8237338619267053,0.7575968204519918,0.7689530685920578,0.8576661433804291
1,Boruta,50,SVM (RBF),0.6781285480245361,0.6368805822240262,0.6353790613718412,0.6751700680272108
1,Boruta,50,Logistic Regression,0.523076923076923,0.4691514925176072,0.4657039711191336,0.43912436769579627
1,Boruta,50,XGBoost,0.8183531768012174,0.7393621445460977,0.7472924187725631,0.8809523809523809
1,Boruta,50,LightGBM,0.819776,0.7211702995579923,0.7292418772563177,0.868916797488226
1,Boruta,50,Stacking Ensemble,0.8225639637437867,0.7743869298123142,0.7833935018050542,0.8427960927960928
1,Boruta,50,Soft Voting Ensemble,0.8042274325561992,0.7758921651471229,0.7833935018050542,0.8601953601953601
1,Boruta,70,Random Forest,0.817636010305963,0.7801038259080733,0.7942238267148014,0.8764826443397872
1,Boruta,70,SVM (RBF),0.558910176921774,0.6523263214765718,0.6498194945848376,0.6745813710099424
1,Boruta,70,Logistic Regression,0.5429658830209698,0.4806039070250048,0.4765342960288808,0.49895342752485605
1,Boruta,70,XGBoost,0.8213477010854744,0.7451768043304757,0.7545126353790613,0.8869701726844584
1,Boruta,70,LightGBM,0.8197470356844092,0.748298115010057,0.7545126353790613,0.8746729461015175
1,Boruta,70,Soft Voting Ensemble,0.8225977321585619,0.7493397712437767,0.7581227436823105,0.8714460143031572
1,Boruta,90,Random Forest,0.8093772330999206,0.771362999422255,0.7870036101083032,0.8655808477237048
1,Boruta,90,SVM (RBF),0.6511880708759835,0.6284093136893718,0.628158844765343,0.673861852433281
1,Boruta,90,Logistic Regression,0.5288549782096922,0.4619778640381154,0.4584837545126354,0.4890545961974534
1,Boruta,90,XGBoost,0.8028122040213417,0.7416082678558789,0.7472924187725631,0.8772021629164486
1,Boruta,90,LightGBM,0.8230582844832272,0.7501437416396676,0.7581227436823105,0.8641636141636142
1,Boruta,90,Stacking Ensemble,0.806935195485405,0.7451768043304757,0.7545126353790613,0.829844758416187
1,Boruta,90,Soft Voting Ensemble,0.8246576185469005,0.77096599031931,0.7833935018050542,0.8620050584336298
1,RFE_SVM,10,Random Forest,0.7931360542095627,0.7751294343289031,0.779783393501805,0.8636839351125065
1,RFE_SVM,10,SVM (RBF),0.6888564733226704,0.64370099170202,0.6425992779783394,0.7077446363160649
1,RFE_SVM,10,Logistic Regression,0.5657100153653939,0.5736650066161793,0.5776173285198556,0.635182278039421
1,RFE_SVM,10,XGBoost,0.7898482862403757,0.7898750451925816,0.7942238267148014,0.8612855398569684
1,RFE_SVM,10,LightGBM,0.7993827695947926,0.7615808974928009,0.7653429602888087,0.8686987615559043
1,RFE_SVM,10,Stacking Ensemble,0.7242793133319588,0.7657830516287135,0.7725631768953068,0.8275335775335775
1,RFE_SVM,10,Soft Voting Ensemble,0.765180338359933,0.7396994702048854,0.740072202166065,0.840572126286412
1,RFE_SVM,30,Random Forest,0.8130669483072229,0.7590227583103397,0.7725631768953068,0.8662349555206699
1,RFE_SVM,30,SVM (RBF),0.6359306883871911,0.6379892625683891,0.6353790613718412,0.667756846328275
1,RFE_SVM,30,Logistic Regression,0.5799937994770749,0.5232927913029283,0.51985559566787,0.6030873888016746
1,RFE_SVM,30,XGBoost,0.8091341181804016,0.7553520763925617,0.7581227436823105,0.8747165532879819
1,RFE_SVM,30,LightGBM,0.804139791920252,0.7751294343289031,0.779783393501805,0.866387580673295
1,RFE_SVM,30,Stacking Ensemble,0.7995780336068965,0.7668664941393913,0.776173285198556,0.8239577882435025
1,RFE_SVM,30,Soft Voting Ensemble,0.804139791920252,0.7442321227439875,0.7509025270758123,0.8510814582243154
1,RFE_SVM,50,Random Forest,0.8043930650253622,0.7404281223618848,0.7545126353790613,0.8559654631083202
1,RFE_SVM,50,SVM (RBF),0.6798872057184077,0.6306698155682541,0.631768953068592,0.6831719867434153
1,RFE_SVM,50,Logistic Regression,0.592767592632701,0.5373518535701517,0.5342960288808665,0.5025292168149311
1,RFE_SVM,50,XGBoost,0.8022684690966405,0.7401761063236328,0.7436823104693141,0.8590179661608232
1,RFE_SVM,50,LightGBM,0.8218752796229805,0.7300762310389928,0.7328519855595668,0.8615035757892902
1,RFE_SVM,50,Stacking Ensemble,0.7888246537327118,0.7502760954327072,0.7545126353790613,0.8333333333333334
1,RFE_SVM,50,Soft Voting Ensemble,0.8144323407960309,0.7434766755933531,0.7509025270758123,0.8446712018140589
1,RFE_SVM,70,Random Forest,0.8030730690707892,0.7536391736434208,0.7689530685920578,0.8591705913134484
1,RFE_SVM,70,XGBoost,0.8214127539496245,0.7401466479022619,0.7472924187725631,0.8502093144950288
1,RFE_SVM,70,LightGBM,0.8139160031891217,0.7615808974928009,0.7653429602888087,0.8424472353043782
1,RFE_SVM,90,Random Forest,0.8085942266764184,0.7636125926230094,0.779783393501805,0.8555075876504448
1,RFE_SVM,90,SVM (RBF),0.6945489319511178,0.6624019509789956,0.6642599277978339,0.6761076225361939
1,RFE_SVM,90,Logistic Regression,0.5793091258135507,0.5264310540740539,0.5234657039711191,0.5497121925693355
1,RFE_SVM,90,XGBoost,0.8266050321671506,0.7664728077227713,0.7725631768953068,0.8736263736263736
1,RFE_SVM,90,LightGBM,0.8234318835232077,0.7650605331835679,0.7725631768953068,0.8697453340310483
1,RFE_SVM,90,Soft Voting Ensemble,0.8178169886707551,0.7609310206771269,0.7725631768953068,0.8562707134135705
1,mRMR,10,Random Forest,0.7952953074958184,0.736818561084393,0.7436823104693141,0.8641636141636141
1,mRMR,10,SVM (RBF),0.596250837821126,0.556043372786083,0.5523465703971119,0.6193092621664049
1,mRMR,10,Logistic Regression,0.4527877202658363,0.433833423987674,0.4296028880866426,0.5330542473399615
1,mRMR,10,XGBoost,0.7938171906882696,0.7288876628646589,0.7328519855595668,0.8705738705738706
1,mRMR,10,LightGBM,0.7761491070044371,0.697557226915751,0.7003610108303249,0.8571864643293216
1,mRMR,10,Stacking Ensemble,0.7658647674721925,0.7476219642336173,0.7581227436823105,0.8530001744287459
1,mRMR,10,Soft Voting Ensemble,0.7882491552744675,0.7385408593383103,0.7472924187725631,0.8513867085295657
1,mRMR,30,Random Forest,0.8156724590011678,0.7623543724626757,0.776173285198556,0.8655154369440083
1,mRMR,30,SVM (RBF),0.5907351542460656,0.5878095563897501,0.5848375451263538,0.5846415489272633
1,mRMR,30,Logistic Regression,0.5044277304779142,0.4666911698145521,0.4620938628158845,0.4849555206698064
1,mRMR,30,XGBoost,0.8092294131717714,0.7355864539875725,0.740072202166065,0.8688295831152973
1,mRMR,30,LightGBM,0.7969620741913376,0.718837460928765,0.7220216606498195,0.865471829757544
1,mRMR,30,Soft Voting Ensemble,0.8156724590011678,0.7602812138870501,0.776173285198556,0.853567067852782
1,mRMR,50,Random Forest,0.8250546478873239,0.7752344402163897,0.7870036101083032,0.8701814058956916
1,mRMR,50,SVM (RBF),0.6529867484228887,0.6578144643265443,0.6606498194945848,0.6611285539856968
1,mRMR,50,Logistic Regression,0.4706766802994256,0.4879478363022169,0.483754512635379,0.4711756497470783
1,mRMR,50,XGBoost,0.8148367484835698,0.7334921217753543,0.740072202166065,0.8467207395778824
1,mRMR,50,LightGBM,0.8170017451574975,0.748298115010057,0.7545126353790613,0.8495115995115995
1,mRMR,50,Stacking Ensemble,0.8198510842428601,0.7437226159808376,0.7581227436823105,0.8243938601081459
1,mRMR,50,Soft Voting Ensemble,0.8130553368483638,0.7542674609585248,0.7653429602888087,0.8519099947671376
1,mRMR,70,Random Forest,0.8231884607424631,0.7636125926230094,0.779783393501805,0.8633568812140241
1,mRMR,70,SVM (RBF),0.5966660548271313,0.6763278165338902,0.6787003610108303,0.6901273329844759
