FS_method,Classifier,Top_k,F1_mean,F1_std,Accuracy_mean,AUC_mean
ReliefF,Random Forest,50,0.7977462943043004,0.029625536444902133,0.8098676293622141,0.8357647752872693
RFE_SVM,Stacking Ensemble,90,0.7957353116197882,,0.8050541516245487,0.8066736823642902
ReliefF,Stacking Ensemble,70,0.7952361047323739,0.020052724131080748,0.8068592057761732,0.7893074215094735
ReliefF,Soft Voting Ensemble,50,0.7925240100505252,0.01389511364068399,0.8050541516245486,0.8324821901183385
Boruta,Random Forest,90,0.792411607286558,0.02075190227464752,0.8050541516245487,0.8458241822488074
ReliefF,Soft Voting Ensemble,10,0.7922761348927273,0.03508549975254267,0.8014440433212996,0.8053049146182533
RFE_SVM,Stacking Ensemble,70,0.7918162647576406,0.005542369224024915,0.8014440433212997,0.8003923201239695
LASSO,Random Forest,90,0.7908177893528435,0.0051324556078867324,0.802647412755716,0.8460969881648651
Boruta,Random Forest,70,0.7907788882823218,0.0124220329726529,0.8038507821901324,0.8539564406770405
RFE_SVM,Soft Voting Ensemble,70,0.7906006549581899,0.013798507525503457,0.7978339350180506,0.8382975658034855
ReliefF,Stacking Ensemble,90,0.7896230429693443,,0.8014440433212996,0.7820076748648177
ReliefF,Random Forest,90,0.7892723565286469,0.015131682607644512,0.802647412755716,0.8499105289752488
Boruta,Stacking Ensemble,70,0.7889333226958135,,0.7978339350180506,0.8144786459703586
ReliefF,Soft Voting Ensemble,90,0.7876187692609765,0.012078424736602714,0.8014440433212996,0.8467635436854063
RF_importance,Random Forest,90,0.7874861471455828,0.006244599375371443,0.8014440433212996,0.8498996472556062
RFE_SVM,Random Forest,90,0.7860716707444366,0.01947984082373106,0.7978339350180504,0.8468159847402151
ReliefF,Soft Voting Ensemble,70,0.7857619012609777,0.027743617200592045,0.7990373044524669,0.8404209065219325
RF_importance,Random Forest,70,0.7855862377098305,0.013248544453948343,0.7990373044524669,0.8527921769831793
RFE_SVM,Stacking Ensemble,50,0.7855476636896684,0.03127481391704961,0.7930204572803851,0.8102237731282719
mRMR,Soft Voting Ensemble,90,0.7852779599014377,0.020747194982418657,0.7978339350180507,0.8426801281970974
mRMR,Random Forest,70,0.7849631844883609,0.0187835682081909,0.7978339350180504,0.8496291301145287
mRMR,Stacking Ensemble,30,0.7845846616196555,0.027603596641234476,0.7978339350180506,0.7735011414964059
RFE_SVM,XGBoost,90,0.7845267232622609,0.015649949677795844,0.7906137184115524,0.8498076947169292
RFE_SVM,LightGBM,90,0.7841162860062934,0.020109333841664946,0.7918170878459687,0.8437517567351822
ReliefF,XGBoost,90,0.7836829232867989,0.015082947286957743,0.7906137184115524,0.8320700098521724
ReliefF,Random Forest,70,0.7836628786882258,0.03369943843278091,0.7966305655836342,0.8447851587157033
mRMR,Random Forest,50,0.7834999434615693,0.008167556037376277,0.7942238267148015,0.8475079175552734
LASSO,XGBoost,90,0.7834275073666795,0.02010719098694566,0.7918170878459687,0.8439498763097816
RFE_SVM,Random Forest,70,0.7830041036856704,0.02604308882713321,0.7942238267148015,0.8386012902587489
ReliefF,XGBoost,70,0.7829968040412717,0.017247362427443395,0.7894103489771359,0.826181272905819
RF_importance,Random Forest,30,0.7826097576761034,0.0052707316635103585,0.7942238267148015,0.8509808725870288
Boruta,Random Forest,30,0.7823870936501179,0.019908588493923112,0.7942238267148015,0.8511857781786748
RF_importance,Random Forest,50,0.7822840087135748,0.0185864031202522,0.7942238267148015,0.8494732524921949
LASSO,Random Forest,50,0.7821106963814941,0.010232008913094618,0.7930204572803851,0.835484621198907
Boruta,XGBoost,90,0.7818875799808797,0.03510418319293151,0.7894103489771359,0.8525608099404468
ReliefF,Soft Voting Ensemble,30,0.7816737755997422,0.019644149067855075,0.7930204572803851,0.8327631472856414
LASSO,Random Forest,70,0.7815094136270296,0.02642026393211055,0.7942238267148015,0.8413790600057371
RFE_SVM,Random Forest,30,0.7810082337075698,0.024799694517812547,0.7906137184115524,0.8469025566499916
mRMR,Soft Voting Ensemble,30,0.7808001138610976,0.022043351632499094,0.7930204572803851,0.8396322830024486
Boruta,Random Forest,50,0.7804345798816565,0.020021809788074274,0.7918170878459687,0.8438869149208533
mRMR,Soft Voting Ensemble,70,0.7801420215566054,0.022874968660264172,0.7918170878459687,0.8420006431056155
RFE_SVM,Stacking Ensemble,30,0.7800727614091109,0.01205074609590724,0.7894103489771359,0.8133236578382593
RFE_SVM,LightGBM,70,0.7794924978386728,0.015544915034533643,0.7845968712394704,0.8398872605660292
mRMR,Random Forest,90,0.7790132520537538,0.02097276501206931,0.7930204572803851,0.8466118822275096
RF_importance,XGBoost,30,0.7786610152758467,0.014832366376215385,0.7845968712394705,0.8363722643517434
ReliefF,XGBoost,50,0.778612966138644,0.022466074811230256,0.7858002406738868,0.8384908669044423
Boruta,Stacking Ensemble,50,0.778369091760403,0.013845196699666584,0.7894103489771359,0.8095290295369222
RFE_SVM,LightGBM,30,0.7783625400751236,0.004568349846440878,0.7821901323706378,0.8433568025122878
ReliefF,LightGBM,50,0.7782350615760594,0.007482710192434563,0.7845968712394705,0.8315862350984687
LASSO,XGBoost,70,0.7781896080602518,0.026157047512179326,0.7858002406738868,0.8372694641439709
LASSO,Random Forest,30,0.7781650344134889,0.026710524472912032,0.7894103489771359,0.8316589940504701
mRMR,Soft Voting Ensemble,50,0.7781632566532556,0.020727857503216533,0.7882069795427196,0.840027317533237
RF_importance,LightGBM,70,0.7780519987245347,0.02139211717146267,0.7845968712394704,0.8310208675244192
Boruta,Soft Voting Ensemble,50,0.7779951252592276,0.0018750677237457341,0.7870036101083032,0.8396957262387413
ReliefF,Random Forest,10,0.777592377654018,0.029294636842026232,0.7870036101083032,0.8124236874236873
RFE_SVM,Random Forest,10,0.7775191966709557,0.005088257708526998,0.7833935018050542,0.8393370711839537
RFE_SVM,Soft Voting Ensemble,90,0.7775162911989725,0.017743003450755686,0.7870036101083032,0.8477806431634373
mRMR,Random Forest,30,0.7774956746956825,0.01674003981237311,0.7894103489771359,0.8451167901641461
RF_importance,LightGBM,90,0.7773782615683876,0.020200800444848028,0.7845968712394705,0.8335418929341581
RF_importance,LightGBM,50,0.7771148996821623,0.005727348436002873,0.7833935018050542,0.8361091756908646
LASSO,Soft Voting Ensemble,90,0.7770965720771811,0.010576499637437467,0.7882069795427196,0.8458610435721723
ReliefF,Random Forest,30,0.7768286109573972,0.014870456081882543,0.7894103489771359,0.8299707615019375
RFE_SVM,XGBoost,30,0.7761172973809547,0.020397984005422358,0.779783393501805,0.8499658209602962
RF_importance,XGBoost,90,0.7757828972430798,0.021486728635216973,0.7833935018050542,0.839503790371983
Boruta,LightGBM,70,0.7757289305640054,0.023755788872282545,0.7821901323706378,0.8451389952968484
LASSO,Soft Voting Ensemble,30,0.7755766848045975,0.0319989219074049,0.7894103489771359,0.827634203324811
mRMR,Stacking Ensemble,70,0.7752403228559481,0.023889927738129847,0.7851985559566788,0.7786935286935287
mRMR,Stacking Ensemble,50,0.7752005071384228,0.0445164605899612,0.7888086642599278,0.7890938426652712
Boruta,LightGBM,90,0.7751488769474436,0.021783421826245614,0.7821901323706378,0.8461246943883092
RF_importance,Stacking Ensemble,30,0.7748157310555558,0.019180517841087416,0.7845968712394704,0.7916129808395002
RF_importance,Soft Voting Ensemble,70,0.7744424287880757,0.016627139621591982,0.7833935018050542,0.8550493909609932
RFE_SVM,Random Forest,50,0.7744283968870174,0.029624860393080356,0.7858002406738868,0.844743599380537
Boruta,Soft Voting Ensemble,90,0.7742124541930013,0.009923269545240497,0.785800240673887,0.844708504830841
RF_importance,Soft Voting Ensemble,30,0.7740089301268016,0.013741617414946007,0.7821901323706378,0.8508264003528407
Boruta,Stacking Ensemble,90,0.7739258887542176,0.02498296838244824,0.7833935018050542,0.8156731455863264
RF_importance,Stacking Ensemble,70,0.7733510846790445,0.015020988150814757,0.7821901323706378,0.8071739202362722
mRMR,XGBoost,50,0.7730416953480921,0.035770241445688716,0.7785800240673887,0.8288707842772562
Boruta,Stacking Ensemble,10,0.772841242123613,0.016395027063559706,0.7851985559566788,0.7920199812465005
ReliefF,LightGBM,90,0.7727979559727763,0.030212613595635696,0.7785800240673887,0.8263755377015046
RF_importance,Soft Voting Ensemble,90,0.7724488799429073,0.021665254710185804,0.7821901323706378,0.8546896919035829
LASSO,XGBoost,50,0.7724238844114136,0.032927838044936646,0.7809867629362214,0.8239499983777806
RFE_SVM,XGBoost,10,0.7723492581214014,0.023797774647815653,0.7761732851985559,0.8355760918902199
mRMR,Stacking Ensemble,90,0.7721282950798084,0.014328864353780377,0.7821901323706378,0.7892112126524123
mRMR,LightGBM,70,0.7717064920497437,0.029647299820353,0.7773766546329722,0.8309524451986962
Boruta,XGBoost,50,0.7714673831436426,0.02811307877768037,0.7785800240673887,0.8448355117652672
RF_importance,Stacking Ensemble,90,0.7712710567089458,,0.779783393501805,0.7946154520740157
RFE_SVM,Stacking Ensemble,10,0.7712662259510489,0.004790618855288813,0.7809867629362214,0.8139080583831966
Boruta,LightGBM,50,0.7711555061553216,0.0435383887148863,0.7773766546329725,0.8419212185984088
mRMR,LightGBM,90,0.7710510973903197,0.013373143058180314,0.7773766546329722,0.8286015922164304
ReliefF,LightGBM,70,0.7708310663136667,0.014088772061208846,0.7773766546329722,0.8306640595511946
mRMR,XGBoost,70,0.7708011035198229,0.01879721319958385,0.7773766546329722,0.831335032005908
Boruta,XGBoost,70,0.770413770906245,0.02350361663928933,0.7785800240673887,0.8501321386088553
RF_importance,XGBoost,70,0.7698253181879079,0.01738374269661095,0.7773766546329722,0.8458117345252308
RF_importance,XGBoost,50,0.769013377777705,0.01637820553501163,0.7773766546329722,0.8387641546678642
mRMR,LightGBM,50,0.7686986920903216,0.02029236787532058,0.7737665463297233,0.8293595381203905
RFE_SVM,XGBoost,70,0.7685229507627945,0.025674554206311255,0.7749699157641396,0.8431395696589067
RFE_SVM,Soft Voting Ensemble,50,0.7684635358369825,0.02170496333931811,0.7749699157641396,0.8447011566585362
Boruta,Random Forest,10,0.7684050811360786,0.037595115512160285,0.7785800240673887,0.8182018403999463
mRMR,Random Forest,10,0.7683932549055487,0.03336612042084811,0.776173285198556,0.8304802347817345
RF_importance,LightGBM,30,0.7683359868931312,0.024186141858078908,0.7737665463297233,0.8387210293287642
LASSO,Stacking Ensemble,70,0.7681612462104346,0.005454176501737776,0.7761732851985559,0.8226265644379298
ReliefF,Stacking Ensemble,50,0.7679394328361933,0.0155317031517897,0.7815884476534296,0.8005704831868998
mRMR,Stacking Ensemble,10,0.7678360457048635,0.018428050782121005,0.7785800240673887,0.8086106284606679
LASSO,LightGBM,90,0.7676792393579768,0.018633294814426306,0.7749699157641396,0.8395627363662092
LASSO,LightGBM,70,0.7675100844624266,0.009435597283572864,0.7749699157641396,0.8264421129456646
RF_importance,Stacking Ensemble,50,0.7675010658749724,0.04030233875994116,0.7785800240673887,0.7999224386359352
RF_importance,Soft Voting Ensemble,50,0.7672121860708488,0.006277302637722468,0.7749699157641396,0.8509805112015058
Boruta,Soft Voting Ensemble,70,0.7666441346059756,0.01505496584171873,0.7773766546329725,0.8535612455304641
RFE_SVM,Soft Voting Ensemble,30,0.7660907055467319,0.03786280585359071,0.7713598074608905,0.8422567449797126
LASSO,XGBoost,30,0.7654373599494938,0.02399137318711979,0.7713598074608905,0.8183062005082525
LASSO,Soft Voting Ensemble,70,0.7653947448285647,0.02837041123172608,0.7785800240673887,0.8398548964847308
LASSO,LightGBM,30,0.7652277579029739,0.02324984457944068,0.7713598074608905,0.8199976453725467
ReliefF,Stacking Ensemble,30,0.7651360222301312,0.015452179723622377,0.779783393501805,0.8032544934675953
mRMR,Soft Voting Ensemble,10,0.7647789987024832,0.0246196600238746,0.7737665463297233,0.8275679493122272
LASSO,Soft Voting Ensemble,50,0.7647202782290572,0.0342323662246421,0.776173285198556,0.8327495752515484
RF_importance,Random Forest,10,0.7646445757680439,0.02672773117962698,0.7725631768953068,0.8247928297257422
RFE_SVM,XGBoost,50,0.7643652156180342,0.022056323737180594,0.7689530685920577,0.8440892105059429
LASSO,LightGBM,50,0.7633096783406379,0.017283958446006036,0.7701564380264742,0.8194419950536762
ReliefF,XGBoost,30,0.7632388552005481,0.02674776874117019,0.7701564380264742,0.8292774634526804
LASSO,Stacking Ensemble,50,0.7630608136311857,0.011179608085301003,0.7743682310469314,0.8130559916274203
Boruta,Stacking Ensemble,30,0.7630222299725277,0.005656107066993061,0.7761732851985559,0.7818063831284034
RFE_SVM,LightGBM,50,0.7626089810757936,0.02984248315108542,0.766546329723225,0.8430274598388253
RFE_SVM,LightGBM,10,0.7621539846803266,0.0005838334140647123,0.7653429602888085,0.8290692250834318
mRMR,XGBoost,90,0.7615863240938677,0.023703296061699086,0.7689530685920577,0.8333436930516647
Boruta,XGBoost,30,0.7605571123052849,0.028476222579655288,0.766546329723225,0.8381122954919324
Boruta,LightGBM,30,0.7604888489620132,0.03503538581580535,0.766546329723225,0.8334292209588184
ReliefF,LightGBM,30,0.7601015362170517,0.017656595430521404,0.7653429602888085,0.8243319427218401
LASSO,Random Forest,10,0.759431327068489,0.016839578361338134,0.7701564380264742,0.7913811319494034
LASSO,Stacking Ensemble,30,0.7587992803436097,0.031582372332184444,0.7707581227436824,0.7887758234048683
LASSO,Stacking Ensemble,90,0.7580100230462367,,0.7725631768953068,0.7946973661259376
RF_importance,Soft Voting Ensemble,10,0.7560253065828874,0.01951223800134364,0.7617328519855596,0.8193378357151048
ReliefF,Stacking Ensemble,10,0.7556813101938492,0.02977512234456481,0.7725631768953068,0.7975645386359672
ReliefF,XGBoost,10,0.75453720437056,0.022718028840386772,0.7593261131167268,0.8031948247023227
LASSO,XGBoost,10,0.7536884675170707,0.0262354120111573,0.7581227436823105,0.7915945903317647
mRMR,XGBoost,30,0.7535169228740856,0.024047249564117957,0.7581227436823105,0.8269146445942025
Boruta,Soft Voting Ensemble,30,0.7524795378881954,0.04874774596048511,0.762936221419976,0.8415517621318727
Boruta,Soft Voting Ensemble,10,0.7521245831396607,0.02391738079879153,0.7653429602888087,0.8007021479791804
Boruta,XGBoost,10,0.7519573405073537,0.03563307008965748,0.7581227436823105,0.8112477790851903
ReliefF,LightGBM,10,0.7510502926939407,0.03569133011726499,0.7545126353790614,0.8040109938294627
mRMR,LightGBM,30,0.7481605316490664,0.035952953221504304,0.7521058965102286,0.8282811637192063
mRMR,XGBoost,10,0.7470380575642248,0.016288504429909003,0.7521058965102286,0.828614280863689
LASSO,Stacking Ensemble,10,0.7463682034299512,0.007603141252819973,0.7581227436823105,0.8070810843107608
RFE_SVM,Soft Voting Ensemble,10,0.7445213014611137,0.008440577297774893,0.7509025270758123,0.8299275558549434
RF_importance,XGBoost,10,0.7438052586428517,0.02744390241355787,0.7472924187725631,0.817228950417585
LASSO,Soft Voting Ensemble,10,0.7411299937652549,0.01669443489804795,0.7545126353790614,0.7836066050351764
RF_importance,LightGBM,10,0.7411234438836934,0.025537141184515045,0.7436823104693141,0.8206824307850354
LASSO,LightGBM,10,0.7381651118165728,0.03322720388046398,0.7424789410348978,0.7921760997925166
mRMR,LightGBM,10,0.7353929628694722,0.033563537587892565,0.7388688327316486,0.8265913250127931
Boruta,LightGBM,10,0.7305758851057567,0.04105738929692888,0.7352587244283996,0.8137211819137627
RF_importance,Stacking Ensemble,10,0.7128517627799164,,0.7220216606498195,0.8309349380777952
RF_importance,SVM (RBF),30,0.6756917249610958,0.03327552936137795,0.6762936221419976,0.7047758943970467
RF_importance,SVM (RBF),90,0.667547505965507,0.039140528603677116,0.6702767749699158,0.7040259792824908
RF_importance,SVM (RBF),70,0.665303209550384,0.028027017215991216,0.6666666666666666,0.7111462377839647
mRMR,SVM (RBF),90,0.6644505678877923,0.029560911991003806,0.6690734055354994,0.6838886142358914
RFE_SVM,SVM (RBF),10,0.6603692666943812,0.018973088411066298,0.6642599277978339,0.7032728920061201
mRMR,SVM (RBF),70,0.6583380233593572,0.04096933274529444,0.6618531889290012,0.6808896363947666
RF_importance,SVM (RBF),50,0.6575605898879563,0.041624819504585325,0.6582430806257521,0.7076983388151502
mRMR,SVM (RBF),50,0.6524488949775392,0.031464103718234354,0.654632972322503,0.6544160989701636
RFE_SVM,SVM (RBF),90,0.6464903352703989,0.014085908614816203,0.6498194945848376,0.6860231177516103
LASSO,SVM (RBF),70,0.6406565171212278,0.033228866159131364,0.6413959085439229,0.6602366946684232
