Outer_Fold,FS_method,Classifier,Best_k,Selected_Features
1,LASSO,Random Forest,10,"original_shape_Elongation,original_shape_Maximum2DDiameterRow,original_shape_Maximum3DDiameter,original_shape_Sphericity,original_firstorder_Median,original_firstorder_Minimum,original_glcm_DifferenceAverage,original_glcm_Idmn,original_glcm_Idn,original_glrlm_RunPercentage"
1,LASSO,SVM (RBF),10,"original_shape_Elongation,original_shape_Maximum2DDiameterRow,original_shape_Maximum3DDiameter,original_shape_Sphericity,original_firstorder_Median,original_firstorder_Minimum,original_glcm_DifferenceAverage,original_glcm_Idmn,original_glcm_Idn,original_glrlm_RunPercentage"
1,LASSO,Logistic Regression,10,"original_shape_Elongation,original_shape_Maximum2DDiameterRow,original_shape_Maximum3DDiameter,original_shape_Sphericity,original_firstorder_Median,original_firstorder_Minimum,original_glcm_DifferenceAverage,original_glcm_Idmn,original_glcm_Idn,original_glrlm_RunPercentage"
1,LASSO,XGBoost,10,"original_shape_Elongation,original_shape_Maximum2DDiameterRow,original_shape_Maximum3DDiameter,original_shape_Sphericity,original_firstorder_Median,original_firstorder_Minimum,original_glcm_DifferenceAverage,original_glcm_Idmn,original_glcm_Idn,original_glrlm_RunPercentage"
1,LASSO,LightGBM,10,"original_shape_Elongation,original_shape_Maximum2DDiameterRow,original_shape_Maximum3DDiameter,original_shape_Sphericity,original_firstorder_Median,original_firstorder_Minimum,original_glcm_DifferenceAverage,original_glcm_Idmn,original_glcm_Idn,original_glrlm_RunPercentage"
1,LASSO,Stacking Ensemble,10,"original_shape_Elongation,original_shape_Maximum2DDiameterRow,original_shape_Maximum3DDiameter,original_shape_Sphericity,original_firstorder_Median,original_firstorder_Minimum,original_glcm_DifferenceAverage,original_glcm_Idmn,original_glcm_Idn,original_glrlm_RunPercentage"
1,LASSO,Soft Voting Ensemble,10,"original_shape_Elongation,original_shape_Maximum2DDiameterRow,original_shape_Maximum3DDiameter,original_shape_Sphericity,original_firstorder_Median,original_firstorder_Minimum,original_glcm_DifferenceAverage,original_glcm_Idmn,original_glcm_Idn,original_glrlm_RunPercentage"
1,LASSO,Random Forest,30,"original_shape_Elongation,original_shape_Maximum2DDiameterRow,original_shape_Maximum3DDiameter,original_shape_Sphericity,original_firstorder_Median,original_firstorder_Minimum,original_glcm_DifferenceAverage,original_glcm_Idmn,original_glcm_Idn,original_glrlm_RunPercentage,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_SmallDependenceEmphasis,original_ngtdm_Coarseness,original_ngtdm_Contrast,original_ngtdm_Strength,wavelet-LLH_firstorder_Entropy,wavelet-LLH_firstorder_Uniformity,wavelet-LLH_firstorder_Variance,wavelet-LLH_glcm_Idm,wavelet-LLH_glcm_Idmn,wavelet-LLH_glcm_SumAverage"
1,LASSO,SVM (RBF),30,"original_shape_Elongation,original_shape_Maximum2DDiameterRow,original_shape_Maximum3DDiameter,original_shape_Sphericity,original_firstorder_Median,original_firstorder_Minimum,original_glcm_DifferenceAverage,original_glcm_Idmn,original_glcm_Idn,original_glrlm_RunPercentage,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_SmallDependenceEmphasis,original_ngtdm_Coarseness,original_ngtdm_Contrast,original_ngtdm_Strength,wavelet-LLH_firstorder_Entropy,wavelet-LLH_firstorder_Uniformity,wavelet-LLH_firstorder_Variance,wavelet-LLH_glcm_Idm,wavelet-LLH_glcm_Idmn,wavelet-LLH_glcm_SumAverage"
1,LASSO,Logistic Regression,30,"original_shape_Elongation,original_shape_Maximum2DDiameterRow,original_shape_Maximum3DDiameter,original_shape_Sphericity,original_firstorder_Median,original_firstorder_Minimum,original_glcm_DifferenceAverage,original_glcm_Idmn,original_glcm_Idn,original_glrlm_RunPercentage,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_SmallDependenceEmphasis,original_ngtdm_Coarseness,original_ngtdm_Contrast,original_ngtdm_Strength,wavelet-LLH_firstorder_Entropy,wavelet-LLH_firstorder_Uniformity,wavelet-LLH_firstorder_Variance,wavelet-LLH_glcm_Idm,wavelet-LLH_glcm_Idmn,wavelet-LLH_glcm_SumAverage"
1,LASSO,XGBoost,30,"original_shape_Elongation,original_shape_Maximum2DDiameterRow,original_shape_Maximum3DDiameter,original_shape_Sphericity,original_firstorder_Median,original_firstorder_Minimum,original_glcm_DifferenceAverage,original_glcm_Idmn,original_glcm_Idn,original_glrlm_RunPercentage,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_SmallDependenceEmphasis,original_ngtdm_Coarseness,original_ngtdm_Contrast,original_ngtdm_Strength,wavelet-LLH_firstorder_Entropy,wavelet-LLH_firstorder_Uniformity,wavelet-LLH_firstorder_Variance,wavelet-LLH_glcm_Idm,wavelet-LLH_glcm_Idmn,wavelet-LLH_glcm_SumAverage"
