feature_rank,feature_name
1,wavelet-HLL_glcm_Idmn
2,wavelet-HHH_glcm_Idmn
3,wavelet-HHH_glcm_DifferenceVariance
4,wavelet-HLH_glcm_SumEntropy
5,log-sigma-1-0-mm-3D_glcm_Correlation
6,wavelet-LLL_glcm_SumAverage
7,wavelet-LHL_glcm_MCC
8,wavelet-LLH_glcm_Idmn
9,log-sigma-1-0-mm-3D_gldm_DependenceEntropy
10,wavelet-LHH_glcm_JointEntropy
11,wavelet-LHH_glcm_SumEntropy
12,wavelet-LHL_firstorder_Uniformity
13,wavelet-LHH_gldm_LowGrayLevelEmphasis
14,original_glszm_HighGrayLevelZoneEmphasis
15,wavelet-HHL_glszm_HighGrayLevelZoneEmphasis
16,wavelet-HHL_gldm_HighGrayLevelEmphasis
17,wavelet-LHL_glcm_Idmn
18,wavelet-HLH_glrlm_LowGrayLevelRunEmphasis
19,wavelet-LHL_gldm_LargeDependenceEmphasis
20,wavelet-LHH_gldm_GrayLevelVariance
21,log-sigma-1-0-mm-3D_glcm_Idn
22,wavelet-HHL_glszm_LargeAreaLowGrayLevelEmphasis
23,wavelet-HHL_glrlm_RunEntropy
24,wavelet-HHH_gldm_DependenceNonUniformityNormalized
25,wavelet-HLH_glcm_Idmn
26,wavelet-LHL_glcm_Imc2
27,log-sigma-1-0-mm-3D_firstorder_Uniformity
28,log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized
29,wavelet-HHH_glcm_ClusterTendency
30,wavelet-HLH_glrlm_GrayLevelNonUniformityNormalized
31,wavelet-HLH_firstorder_Entropy
32,wavelet-HHL_glrlm_GrayLevelNonUniformityNormalized
33,wavelet-LHH_firstorder_Uniformity
34,wavelet-LHH_glrlm_ShortRunEmphasis
35,original_glcm_Idn
36,original_glrlm_RunPercentage
37,wavelet-LLL_glrlm_RunLengthNonUniformityNormalized
38,log-sigma-2-0-mm-3D_firstorder_Variance
39,wavelet-HHH_glcm_SumAverage
40,wavelet-LHH_glrlm_RunLengthNonUniformityNormalized
41,wavelet-LLH_gldm_DependenceNonUniformityNormalized
42,wavelet-LLH_glrlm_LongRunEmphasis
43,wavelet-LHH_glszm_ZoneEntropy
44,wavelet-HHH_glrlm_RunEntropy
45,wavelet-HLL_glcm_DifferenceAverage
46,wavelet-LHL_glcm_Contrast
47,log-sigma-1-0-mm-3D_glszm_ZoneEntropy
48,wavelet-HLH_glszm_LowGrayLevelZoneEmphasis
49,wavelet-LLH_firstorder_Uniformity
50,wavelet-HLH_glrlm_ShortRunEmphasis
