dataset,model,feature_name,image_type,feature_class
outer,Random Forest,wavelet-HLL_glcm_Idmn,wavelet-HLL,GLCM
outer,Random Forest,wavelet-HHH_glcm_Idmn,wavelet-HHH,GLCM
outer,Random Forest,wavelet-HHH_glcm_DifferenceVariance,wavelet-HHH,GLCM
outer,Random Forest,wavelet-HLH_glcm_SumEntropy,wavelet-HLH,GLCM
outer,Random Forest,log-sigma-1-0-mm-3D_glcm_Correlation,other,GLCM
outer,Random Forest,wavelet-LLL_glcm_SumAverage,wavelet-LLL,GLCM
outer,Random Forest,wavelet-LHL_glcm_MCC,wavelet-LHL,GLCM
outer,Random Forest,wavelet-LLH_glcm_Idmn,wavelet-LLH,GLCM
outer,Random Forest,log-sigma-1-0-mm-3D_gldm_DependenceEntropy,other,GLDM
outer,Random Forest,wavelet-LHH_glcm_JointEntropy,wavelet-LHH,GLCM
outer,Random Forest,wavelet-LHH_glcm_SumEntropy,wavelet-LHH,GLCM
outer,Random Forest,wavelet-LHL_firstorder_Uniformity,wavelet-LHL,FIRSTORDER
outer,Random Forest,wavelet-LHH_gldm_LowGrayLevelEmphasis,wavelet-LHH,GLDM
outer,Random Forest,original_glszm_HighGrayLevelZoneEmphasis,original,GLSZM
outer,Random Forest,wavelet-HHL_glszm_HighGrayLevelZoneEmphasis,wavelet-HHL,GLSZM
outer,Random Forest,wavelet-HHL_gldm_HighGrayLevelEmphasis,wavelet-HHL,GLDM
outer,Random Forest,wavelet-LHL_glcm_Idmn,wavelet-LHL,GLCM
outer,Random Forest,wavelet-HLH_glrlm_LowGrayLevelRunEmphasis,wavelet-HLH,GLRLM
outer,Random Forest,wavelet-LHL_gldm_LargeDependenceEmphasis,wavelet-LHL,GLDM
outer,Random Forest,wavelet-LHH_gldm_GrayLevelVariance,wavelet-LHH,GLDM
outer,Random Forest,log-sigma-1-0-mm-3D_glcm_Idn,other,GLCM
outer,Random Forest,wavelet-HHL_glszm_LargeAreaLowGrayLevelEmphasis,wavelet-HHL,GLSZM
outer,Random Forest,wavelet-HHL_glrlm_RunEntropy,wavelet-HHL,GLRLM
outer,Random Forest,wavelet-HHH_gldm_DependenceNonUniformityNormalized,wavelet-HHH,GLDM
outer,Random Forest,wavelet-HLH_glcm_Idmn,wavelet-HLH,GLCM
outer,Random Forest,wavelet-LHL_glcm_Imc2,wavelet-LHL,GLCM
outer,Random Forest,log-sigma-1-0-mm-3D_firstorder_Uniformity,other,FIRSTORDER
outer,Random Forest,log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,other,GLRLM
outer,Random Forest,wavelet-HHH_glcm_ClusterTendency,wavelet-HHH,GLCM
outer,Random Forest,wavelet-HLH_glrlm_GrayLevelNonUniformityNormalized,wavelet-HLH,GLRLM
outer,Random Forest,wavelet-HLH_firstorder_Entropy,wavelet-HLH,FIRSTORDER
outer,Random Forest,wavelet-HHL_glrlm_GrayLevelNonUniformityNormalized,wavelet-HHL,GLRLM
outer,Random Forest,wavelet-LHH_firstorder_Uniformity,wavelet-LHH,FIRSTORDER
outer,Random Forest,wavelet-LHH_glrlm_ShortRunEmphasis,wavelet-LHH,GLRLM
outer,Random Forest,original_glcm_Idn,original,GLCM
outer,Random Forest,original_glrlm_RunPercentage,original,GLRLM
outer,Random Forest,wavelet-LLL_glrlm_RunLengthNonUniformityNormalized,wavelet-LLL,GLRLM
outer,Random Forest,log-sigma-2-0-mm-3D_firstorder_Variance,other,FIRSTORDER
outer,Random Forest,wavelet-HHH_glcm_SumAverage,wavelet-HHH,GLCM
outer,Random Forest,wavelet-LHH_glrlm_RunLengthNonUniformityNormalized,wavelet-LHH,GLRLM
outer,Random Forest,wavelet-LLH_gldm_DependenceNonUniformityNormalized,wavelet-LLH,GLDM
outer,Random Forest,wavelet-LLH_glrlm_LongRunEmphasis,wavelet-LLH,GLRLM
outer,Random Forest,wavelet-LHH_glszm_ZoneEntropy,wavelet-LHH,GLSZM
outer,Random Forest,wavelet-HHH_glrlm_RunEntropy,wavelet-HHH,GLRLM
outer,Random Forest,wavelet-HLL_glcm_DifferenceAverage,wavelet-HLL,GLCM
outer,Random Forest,wavelet-LHL_glcm_Contrast,wavelet-LHL,GLCM
outer,Random Forest,log-sigma-1-0-mm-3D_glszm_ZoneEntropy,other,GLSZM
outer,Random Forest,wavelet-HLH_glszm_LowGrayLevelZoneEmphasis,wavelet-HLH,GLSZM
outer,Random Forest,wavelet-LLH_firstorder_Uniformity,wavelet-LLH,FIRSTORDER
outer,Random Forest,wavelet-HLH_glrlm_ShortRunEmphasis,wavelet-HLH,GLRLM
holdout,Random Forest,wavelet-HLL_glcm_Idmn,wavelet-HLL,GLCM
holdout,Random Forest,wavelet-HHH_glcm_Idmn,wavelet-HHH,GLCM
holdout,Random Forest,wavelet-HHH_glcm_DifferenceVariance,wavelet-HHH,GLCM
holdout,Random Forest,wavelet-HLH_glcm_SumEntropy,wavelet-HLH,GLCM
holdout,Random Forest,log-sigma-1-0-mm-3D_glcm_Correlation,other,GLCM
holdout,Random Forest,wavelet-LLL_glcm_SumAverage,wavelet-LLL,GLCM
holdout,Random Forest,wavelet-LHL_glcm_MCC,wavelet-LHL,GLCM
